time,exchange,price,amount,side
2026-09-12T18:24:12.320820+00:00,nobitex,17889999990.0,1e-06,sell
2026-09-12T18:24:12.320880+00:00,nobitex,17890000009.0,0.001523,buy
2026-09-12T18:24:12.320900+00:00,nobitex,17889999990.0,0.000642,sell
2026-09-12T18:24:12.320918+00:00,nobitex,17889999991.0,0.001472,sell
2026-09-12T18:24:12.320934+00:00,nobitex,17890000000.0,5.5e-05,sell
2026-09-12T18:24:12.320953+00:00,nobitex,17890000000.0,0.000286,sell
2026-09-12T18:24:12.320969+00:00,nobitex,17890000000.0,0.000111,sell
2026-09-12T18:24:12.320987+00:00,nobitex,17890000001.0,0.002094,sell
2026-09-12T18:24:13.995677+00:00,bitpin,17910000000.0,0.00220824,buy
2026-09-12T18:24:29.450465+00:00,nobitex,17890000009.0,0.000239,buy
2026-09-12T18:24:29.450511+00:00,nobitex,17890000009.0,8.5e-05,buy
2026-09-12T18:24:47.783101+00:00,nobitex,17890000009.0,0.009417,buy
2026-09-12T18:25:05.247023+00:00,wallex,17991270201.0,0.00713994,sell
2026-09-12T18:25:05.247079+00:00,wallex,17926792434.0,0.00192859,sell
2026-09-12T18:25:05.247094+00:00,wallex,17926792434.0,0.00028229,sell
2026-09-12T18:25:05.247106+00:00,wallex,17926792434.0,0.00278912,sell
2026-09-12T18:25:06.004616+00:00,nobitex,17889999991.0,0.000145,buy
2026-09-12T18:25:06.004647+00:00,nobitex,17889999991.0,0.000755,sell
2026-09-12T18:25:21.672854+00:00,nobitex,17889999990.0,0.000556,sell
2026-09-12T18:25:21.672906+00:00,nobitex,17889999990.0,0.000695,sell
2026-09-12T18:25:21.672923+00:00,nobitex,17889999990.0,0.009398,sell
2026-09-12T18:25:36.725501+00:00,wallex,17947245384.0,0.00021406,buy
2026-09-12T18:25:37.954723+00:00,nobitex,17889999991.0,7.5e-05,buy
2026-09-12T18:25:54.235605+00:00,nobitex,17907000000.0,1.6e-05,buy
2026-09-12T18:25:54.235635+00:00,nobitex,17907000000.0,0.000251,buy
2026-09-12T18:25:54.235645+00:00,nobitex,17890000009.0,0.024773,buy
2026-09-12T18:25:54.235654+00:00,nobitex,17889999991.0,0.004675,buy
2026-09-12T18:25:54.235663+00:00,nobitex,17889999991.0,0.000389,buy
2026-09-12T18:25:54.235671+00:00,nobitex,17889999991.0,0.000109,buy
2026-09-12T18:25:54.235679+00:00,nobitex,17889999991.0,0.000193,buy
2026-09-12T18:25:55.364722+00:00,bitpin,17909340405.0,7.19e-06,sell
2026-09-12T18:25:55.364791+00:00,bitpin,17906313205.0,0.00018665,sell
2026-09-12T18:25:55.364815+00:00,bitpin,17909340407.0,2.282e-05,sell
2026-09-12T18:26:11.757025+00:00,nobitex,17907000000.0,0.000457,buy
2026-09-12T18:26:30.168193+00:00,nobitex,17897744451.0,7e-05,sell
2026-09-12T18:26:48.712566+00:00,nobitex,17907000000.0,0.000581,buy
2026-09-12T18:27:05.521058+00:00,wallex,17947245453.0,0.00045004,buy
2026-09-12T18:27:06.733496+00:00,nobitex,17907000001.0,0.000112,sell
2026-09-12T18:27:44.649695+00:00,nobitex,17933000001.0,7e-06,buy
2026-09-12T18:28:21.075745+00:00,nobitex,17933000001.0,8e-05,buy
2026-09-12T18:28:21.075798+00:00,nobitex,17933000001.0,0.025124,buy
2026-09-12T18:28:39.193405+00:00,nobitex,17907000004.0,7.9e-05,sell
2026-09-12T18:28:39.193539+00:00,nobitex,17933000000.0,6e-05,buy
2026-09-12T18:28:39.193560+00:00,nobitex,17907000004.0,2.3e-05,sell
2026-09-12T18:28:40.738572+00:00,bitpin,17910000000.0,0.00013163,buy
2026-09-12T18:28:40.738627+00:00,bitpin,17910000000.0,5.583e-05,buy
2026-09-12T18:28:40.738649+00:00,bitpin,17910000000.0,0.00123131,buy
2026-09-12T18:28:40.738670+00:00,bitpin,17909340405.0,2.036e-05,buy
2026-09-12T18:28:56.503900+00:00,wallex,17947245577.0,0.00019416,buy
2026-09-12T18:28:58.059322+00:00,nobitex,17912687154.0,1e-06,sell
2026-09-12T18:28:58.059390+00:00,nobitex,17926327980.0,6e-06,sell
2026-09-12T18:29:17.085850+00:00,nobitex,17889999990.0,0.009056,sell
2026-09-12T18:29:17.085894+00:00,nobitex,17890000010.0,0.000145,sell
2026-09-12T18:29:17.085907+00:00,nobitex,17890000011.0,0.00088,sell
2026-09-12T18:29:17.085919+00:00,nobitex,17907000000.0,0.000257,sell
2026-09-12T18:29:17.085929+00:00,nobitex,17907000003.0,0.000231,sell
2026-09-12T18:29:17.085940+00:00,nobitex,17907000004.0,0.000557,sell
2026-09-12T18:29:17.085950+00:00,nobitex,17912687154.0,0.000507,sell
2026-09-12T18:29:17.085960+00:00,nobitex,17912687155.0,0.000244,sell
2026-09-12T18:29:17.085971+00:00,nobitex,17912687155.0,0.003439,sell
2026-09-12T18:29:17.085981+00:00,nobitex,17912687155.0,0.002561,sell
2026-09-12T18:29:33.778210+00:00,nobitex,17894007653.0,0.000275,sell
2026-09-12T18:29:33.778262+00:00,nobitex,17915033036.0,0.000287,sell
2026-09-12T18:29:33.778280+00:00,nobitex,17889999992.0,0.000931,sell
2026-09-12T18:29:33.778296+00:00,nobitex,17895085028.0,0.019375,sell
2026-09-12T18:29:33.778311+00:00,nobitex,17906681199.0,0.000101,sell
2026-09-12T18:29:33.778324+00:00,nobitex,17906681200.0,0.000454,sell
2026-09-12T18:29:33.778338+00:00,nobitex,17906681201.0,0.00088,sell
2026-09-12T18:29:33.778352+00:00,nobitex,17929132309.0,0.000155,sell
2026-09-12T18:29:33.778365+00:00,nobitex,17929132309.0,0.000258,sell
2026-09-12T18:29:35.312916+00:00,bitpin,17935243900.0,5e-08,buy
2026-09-12T18:29:35.312961+00:00,bitpin,17931578482.0,0.00270205,buy
2026-09-12T18:29:35.312977+00:00,bitpin,17935243900.0,0.01615475,buy
2026-09-12T18:29:35.312990+00:00,bitpin,17930578482.0,4.65e-05,buy
2026-09-12T18:29:51.796794+00:00,nobitex,17894007654.0,0.000122,sell
2026-09-12T18:30:09.923123+00:00,nobitex,17932999998.0,1e-05,buy
2026-09-12T18:30:27.496550+00:00,wallex,17947245544.0,3.679e-05,buy
2026-09-12T18:30:29.788577+00:00,bitpin,17949243891.0,0.00301434,buy
2026-09-12T18:30:29.788615+00:00,bitpin,17947313304.0,0.001016,buy
2026-09-12T18:30:46.276892+00:00,nobitex,17932999998.0,1.6e-05,buy
2026-09-12T18:30:47.296354+00:00,bitpin,17949243900.0,0.00033427,buy
2026-09-12T18:30:47.296384+00:00,bitpin,17949243900.0,0.00437182,buy
2026-09-12T18:31:02.965022+00:00,wallex,17981374967.0,0.00010782,sell
2026-09-12T18:31:02.965055+00:00,wallex,17981374967.0,0.0015083,sell
2026-09-12T18:31:04.194252+00:00,nobitex,17890000000.0,8.6e-05,sell
2026-09-12T18:31:04.194310+00:00,nobitex,17890000001.0,8e-06,sell
2026-09-12T18:31:04.194332+00:00,nobitex,17914034158.0,0.000446,sell
2026-09-12T18:31:22.728031+00:00,nobitex,17914034158.0,0.000558,buy
2026-09-12T18:31:24.165329+00:00,bitpin,17960712587.0,0.00064792,buy
2026-09-12T18:31:39.930031+00:00,wallex,17981373000.0,4.51e-05,buy
2026-09-12T18:31:39.930067+00:00,wallex,17981373000.0,1.523e-05,buy
2026-09-12T18:31:41.469466+00:00,nobitex,17914034158.0,0.000115,buy
2026-09-12T18:31:41.469515+00:00,nobitex,17899988106.0,1e-06,sell
2026-09-12T18:31:43.031104+00:00,bitpin,17970705123.0,0.00012043,sell
2026-09-12T18:31:43.031139+00:00,bitpin,17970705123.0,0.00017205,sell
2026-09-12T18:31:43.031151+00:00,bitpin,17970221754.0,0.00029762,buy
2026-09-12T18:31:43.031163+00:00,bitpin,17968425617.0,0.00018971,buy
2026-09-12T18:31:43.031188+00:00,bitpin,17976987685.0,0.00023546,sell
2026-09-12T18:31:43.031205+00:00,bitpin,17976987685.0,4.267e-05,buy
2026-09-12T18:31:43.031222+00:00,bitpin,17971513006.0,0.00257656,buy
2026-09-12T18:31:43.031237+00:00,bitpin,17962027654.0,0.01089784,buy
2026-09-12T18:31:43.031252+00:00,bitpin,17962508150.0,0.00045354,buy
2026-09-12T18:31:43.031267+00:00,bitpin,17976987685.0,0.00946045,buy
2026-09-12T18:31:43.031282+00:00,bitpin,17964303714.0,0.00031748,buy
2026-09-12T18:31:43.031296+00:00,bitpin,17966605431.0,0.00061684,buy
2026-09-12T18:31:59.078989+00:00,nobitex,17914034158.0,0.000306,sell
